TEAMS,27/5/2024,28/5/2024,29/5/2024,30/5/2024,31/5/2024,TOTAL
A ,"842,251","385,668","436,829","425,511","207,589","2,297,848"
B,"25,344","24,753","87,366","85,102","41,518","264,083"
C,"195,532","102,077","131,049","127,653","62,277","618,588"
D,"302,165","157,744","203,853","198,572","98,875","961,209"
E,"106,609","55,655","72,805","70,918","34,598","340,584"
F,"34,312","33,057","58,244","56,735","27,678","210,026"
G,"210,137","109,701","145,160","141,837","69,196","676,031"
H,"32,023",44076.32,"72,805","70,918","34,598","254,420"
I,"121,980","63,679","87,366","85,102","41,518","399,645"
J,"240,397","125,498","160,170","156,021","76,166","758,252"
